Id;Pclass1;Pclass2;Pclass3;SexM;SexF;age_c;age_y;age_m;age_o;sibsp_is;parch_is;embarked_C;embarked_S;embarked_Q;Survived
227;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
228;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
229;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
231;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1
232;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
233;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0
234;0;0;1;0;1;1;0;0;0;1;1;0;1;0;1
235;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
237;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
238;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1
239;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
240;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
243;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
244;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
245;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
246;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0
247;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
248;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1
249;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1
250;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0
252;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0
253;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
254;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0
255;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0
256;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
258;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1
259;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
260;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1
262;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1
263;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0
264;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
266;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
267;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0
268;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1
269;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1
270;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1
272;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
273;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1
274;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0
276;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1
277;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0
279;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0
280;0;0;1;0;1;0;0;1;0;1;1;0;1;0;1
281;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0
282;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
283;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
284;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
286;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0
287;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
288;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
289;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1
290;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
291;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1
292;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1
293;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0
294;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
295;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
297;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
298;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0
300;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1
303;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
306;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1
308;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1
309;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0
310;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
311;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1
312;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1
313;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0
314;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
315;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0
316;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
317;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1
318;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0
319;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1
320;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1
321;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
322;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
323;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1
324;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1
326;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
327;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
328;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
329;0;0;1;0;1;0;0;1;0;1;1;0;1;0;1
330;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1
332;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
333;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0
334;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
337;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
338;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
339;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
340;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
341;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1
342;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1
343;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
344;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
345;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
346;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
347;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
349;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1
350;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
351;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
353;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0
354;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
356;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
357;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1
358;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
361;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0
362;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0
363;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0
364;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
366;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
367;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1
370;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1
371;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1
372;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
373;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
374;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
375;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
377;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
378;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0
379;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
380;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
381;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
382;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1
383;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
384;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1
386;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
387;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
388;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
390;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1
391;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1
392;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
393;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
394;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1
395;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1
396;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
397;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0
398;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
399;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
400;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
401;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
402;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
403;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0
404;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
405;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
406;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
407;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
408;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1
409;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
413;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1
415;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
417;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1
418;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1
419;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
420;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0
422;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0
423;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
424;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0
425;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0
427;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1
428;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
430;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1
431;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1
433;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1
434;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
435;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0
436;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1
437;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0
438;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1
439;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0
440;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
441;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1
442;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
443;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
444;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1
446;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1
447;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1
448;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
449;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1
450;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1
451;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0
453;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0
454;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1
456;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1
457;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
459;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
461;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
462;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
463;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
464;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
466;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
468;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
470;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1
472;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
473;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1
474;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1
475;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
477;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0
478;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0
479;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
480;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1
481;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0
483;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0
484;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
485;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1
487;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1
488;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
489;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
490;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1
492;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
493;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
494;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0
495;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
497;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1
499;1;0;0;0;1;0;1;0;0;1;1;0;1;0;0
500;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
501;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
502;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0
504;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0
505;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1
506;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0
507;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1
509;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
510;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
511;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1
513;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1
514;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1
515;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
516;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
517;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
519;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1
520;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
521;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1
522;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0
524;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1
526;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0
527;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
529;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0
530;0;1;0;1;0;0;1;0;0;1;1;0;1;0;0
531;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1
533;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0
535;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0
536;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1
537;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0
538;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1
540;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1
541;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1
542;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
543;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0
544;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1
